student_id,cgpa,branch
S0234,8.46,EEE
S0235,6.92,IT
S0236,6.98,CHEM
S0237,6.0,IT
S0238,7.37,ME
S0239,6.65,CSE
S0240,7.08,IT
S0241,6.8,AIML
S0242,7.42,EEE
S0243,6.09,ECE
S0244,6.33,AIML
S0245,9.2,CE
S0246,6.47,IT
S0247,6.62,ECE
S0248,8.97,ECE
S0249,9.82,EEE
S0250,6.56,IT
S0251,7.21,CSE
S0252,7.77,AIML
S0253,8.88,AIML
S0254,6.71,CE
S0255,7.3,CHEM
S0256,8.12,ME
S0257,7.85,ME
S0258,7.2,ME
S0259,7.39,ECE
S0260,6.4,ECE
S0261,7.31,CSE
S0262,7.29,EEE
S0263,7.69,IT
S0264,7.06,CSE
S0265,7.88,EEE
S0266,8.31,IT
S0267,7.62,CSE
S0268,7.78,CE
S0269,7.54,AIML
S0270,7.5,CSE
S0271,6.92,CSE
S0272,7.75,IT
S0273,7.42,CE
S0274,9.17,CE
S0275,8.76,CSE
S0276,7.81,ME
S0277,6.89,CSE
S0278,6.61,IT
S0279,8.45,CHEM
S0280,7.71,CSE
S0281,7.88,CSE
S0282,6.1,ECE
S0283,8.24,EEE
S0284,7.86,AIML
S0285,6.61,CHEM
S0286,7.12,CSE
S0287,7.71,CSE
S0288,7.54,CE
S0289,7.27,CSE
S0290,7.42,AIML
S0291,7.3,EEE
S0292,7.62,CSE
S0293,8.68,CE
S0294,6.0,CSE
S0295,7.31,ECE
S0296,7.64,ECE
S0297,7.74,ECE
S0298,7.2,ME
S0299,6.09,EEE
S0300,7.76,CHEM
S0301,8.88,CHEM
S0302,6.27,ECE
S0303,8.19,CSE
S0304,7.24,ME
S0305,7.45,CHEM
S0306,6.66,IT
S0307,7.23,ECE
S0308,8.54,ECE
S0309,7.97,CSE
S0310,8.89,EEE
S0311,8.44,IT
S0312,7.85,CE
S0313,8.9,CE
S0314,7.85,CE
S0315,8.16,IT
S0316,7.26,IT
S0317,7.55,ME
S0318,6.94,CE
S0319,8.29,ECE
S0320,6.56,AIML
S0321,8.13,CSE
S0322,7.35,AIML
S0323,8.44,CSE
S0324,8.1,CSE
S0325,8.96,ECE
S0326,8.08,CSE
S0327,6.24,CSE
S0328,7.45,CSE
S0329,6.56,ECE
S0330,7.09,ME
S0331,8.71,CSE
S0332,8.01,EEE
S0333,6.94,CE
S0334,6.69,CSE
S0335,7.53,CSE
S0336,6.53,AIML
S0337,6.96,CE
S0338,7.75,ECE
S0339,8.42,CE
S0340,7.99,CSE
S0341,6.0,IT
S0342,7.74,ME
S0343,7.56,CSE
S0344,7.83,ME
S0345,8.79,ECE
S0346,6.0,ME
S0347,7.03,ECE
S0348,7.97,IT
S0349,6.23,CSE
S0350,8.68,CSE
S0351,7.79,ME
S0352,8.18,CSE
S0353,7.04,CSE
S0354,8.15,CSE
S0355,8.35,CSE
S0356,7.69,CE
S0357,7.69,IT
S0358,7.72,CHEM
S0359,6.81,CSE
S0360,7.38,EEE
S0361,7.38,ECE
S0362,7.81,IT
S0363,8.3,AIML
S0364,6.65,CHEM
S0365,7.4,AIML
S0366,8.69,CSE
S0367,6.91,CSE
S0368,6.84,EEE
S0369,7.66,IT
S0370,8.18,ME
S0371,7.51,ECE
S0372,8.56,ECE
S0373,8.19,CE
S0374,8.17,ME
S0375,7.94,CSE
S0376,9.36,CSE
S0377,7.34,EEE
S0378,6.0,ECE
S0379,8.78,CSE
S0380,7.13,IT
S0381,7.59,ME
S0382,8.55,CE
S0383,6.22,ECE
S0384,6.5,IT
S0385,6.22,CSE
S0386,6.86,ECE
S0387,7.85,IT
S0388,7.92,ECE
S0389,7.72,EEE
S0390,6.37,CSE
S0391,6.0,CSE
S0392,7.54,CSE
S0393,7.12,AIML
S0394,7.87,EEE
S0395,8.06,CSE
S0396,7.61,AIML
S0397,8.11,ECE
S0398,7.68,ECE
S0399,7.92,AIML
S0400,6.94,CSE
S0401,7.36,CSE
S0402,7.66,EEE
S0403,8.16,CSE
S0404,7.19,EEE
S0405,7.92,CSE
S0406,7.29,CSE
S0407,7.41,CSE
S0408,8.16,ECE
S0409,6.0,CSE
S0410,6.46,CSE
S0411,6.31,AIML
S0412,6.0,IT
S0413,6.96,IT
S0414,8.1,CSE
S0415,7.27,IT
S0416,7.66,CSE
S0417,8.37,EEE
S0418,8.56,CSE
S0419,7.44,AIML
S0420,8.58,AIML
S0421,7.57,CSE
S0422,6.83,CSE
S0423,7.02,CSE
S0424,6.32,EEE
S0425,6.79,CSE
S0426,7.21,CE
S0427,8.14,ME
S0428,8.88,CE
S0429,6.39,ECE
S0430,7.81,CHEM
S0431,6.67,CSE
S0432,7.88,IT
S0433,7.4,IT
S0434,6.04,AIML
S0435,8.24,ECE
S0436,7.02,CE
S0437,7.07,CSE
S0438,6.64,CHEM
S0439,6.98,ECE
S0440,7.84,ECE
S0441,7.35,CHEM
S0442,7.76,IT
S0443,7.79,IT
S0444,8.56,EEE
S0445,7.23,CSE
S0446,6.32,IT
S0447,8.35,CSE
S0448,7.23,CSE
S0449,8.39,AIML
S0450,7.81,EEE
S0451,7.4,IT
S0452,7.78,IT
S0453,9.06,ECE
S0454,9.16,EEE
S0455,7.56,AIML
S0456,7.63,AIML
S0457,8.36,IT
S0458,6.82,IT
S0459,7.77,ECE
S0460,7.48,ECE
S0461,7.75,ECE
S0462,6.83,EEE
S0463,6.23,ECE
S0464,6.0,IT
S0465,6.61,IT
S0466,7.13,IT
S0467,7.27,CSE
S0468,9.05,CSE
S0469,8.38,ME
S0470,6.73,IT
S0471,7.78,CSE
S0472,7.17,ECE
S0473,7.27,ME
S0474,7.65,CSE
S0475,8.0,CE
S0476,7.23,AIML
S0477,8.35,EEE
S0478,6.59,EEE
S0479,7.51,CSE
S0480,9.58,AIML
S0481,7.68,IT
S0482,8.65,AIML
S0483,7.57,ECE
S0484,7.96,CSE
S0485,7.45,CSE
S0486,7.36,ME
S0487,6.88,ECE
S0488,7.84,CSE
S0489,6.82,ME
S0490,8.03,CE
S0491,8.37,ECE
S0492,7.79,ECE
S0493,7.27,CSE
S0494,7.86,CE
S0495,7.25,IT
S0496,8.25,AIML
S0497,6.03,IT
S0498,7.23,ECE
S0499,6.0,CSE
S0500,6.3,CSE
S0501,8.59,ME
S0502,8.22,ECE
S0503,6.92,ECE
S0504,6.3,CHEM
S0505,6.0,CHEM
S0506,7.07,CE
S0507,9.44,CSE
S0508,7.85,EEE
S0509,7.05,AIML
S0510,7.87,IT
S0511,6.25,CSE
S0512,7.26,CE
S0513,7.58,ECE
S0514,7.43,ECE
S0515,8.13,CHEM
S0516,7.78,EEE
S0517,8.03,ECE
S0518,6.95,IT
S0519,8.22,IT
S0520,8.8,CSE
S0521,6.72,CE
S0522,6.79,CE
S0523,8.57,IT
S0524,7.35,IT
S0525,8.62,AIML
S0526,7.15,CSE
S0527,8.66,ECE
S0528,7.61,ECE
S0529,7.71,ME
S0530,8.75,CSE
S0531,7.21,EEE
S0532,6.75,IT
S0533,7.14,EEE
S0534,7.86,CSE
S0535,6.25,ECE
S0536,8.01,ECE
S0537,7.07,CSE
S0538,8.42,CSE
S0539,6.0,CSE
S0540,6.87,IT
S0541,6.15,CSE
S0542,6.84,AIML
S0543,7.7,IT
S0544,7.36,CE
S0545,7.3,CHEM
S0546,7.37,CSE
S0547,7.66,EEE
S0548,6.69,AIML
S0549,8.07,EEE
S0550,8.03,ECE
S0551,7.81,ECE
S0552,7.95,CSE
S0553,7.74,ECE
S0554,9.13,CHEM
S0555,7.43,AIML
S0556,7.25,CSE
S0557,6.9,ME
S0558,6.67,IT
S0559,6.5,AIML
S0560,6.79,CSE
S0561,7.44,AIML
S0562,7.77,CE
S0563,7.54,CSE
S0564,6.89,CSE
S0565,8.22,CE
S0566,8.09,CSE
S0567,7.37,ECE
S0568,6.98,AIML
S0569,7.94,ECE
S0570,7.65,IT
S0571,6.34,ECE
S0572,7.45,CSE
S0573,7.71,CHEM
S0574,6.78,IT
S0575,7.65,CSE
S0576,6.34,IT
S0577,8.57,CHEM
S0578,8.5,CSE
S0579,7.3,AIML
S0580,7.79,ME
S0581,6.0,CE
S0582,6.57,CHEM
S0583,7.26,CE
S0584,6.64,AIML
S0585,8.07,CSE
S0586,9.1,CE
S0587,6.56,ECE
S0588,6.83,ECE
S0589,7.69,AIML
S0590,8.79,CHEM
S0591,6.52,ME
S0592,7.7,ECE
S0593,8.96,ECE
S0594,6.18,IT
S0595,6.48,IT
S0596,7.16,IT
S0597,7.08,CSE
S0598,8.15,CSE
S0599,7.69,ME
S0600,6.08,ECE
S0601,7.91,AIML
S0602,7.04,EEE
S0603,8.52,CSE
S0604,7.0,CSE
S0605,6.99,CSE
S0606,7.93,CHEM
S0607,8.11,CSE
S0608,7.86,ECE
S0609,6.15,AIML
S0610,7.93,CHEM
S0611,6.67,CSE
S0612,7.69,CSE
S0613,6.36,CSE
S0614,7.86,CSE
S0615,6.85,CSE
S0616,6.47,ECE
S0617,8.07,AIML
S0618,7.69,ECE
S0619,7.01,EEE
S0620,8.66,CSE
S0621,7.15,CE
S0622,7.53,EEE
S0623,7.72,AIML
S0624,7.0,AIML
S0625,7.88,IT
S0626,7.07,CSE
S0627,7.17,CSE
S0628,8.59,ECE
S0629,6.67,AIML
S0630,6.0,IT
S0631,8.79,ME
S0632,9.54,ECE
S0633,7.18,CSE
S0634,6.0,IT
S0635,7.25,EEE
S0636,7.27,EEE
S0637,7.35,ECE
S0638,6.61,CSE
S0639,7.96,ME
S0640,7.92,CSE
S0641,6.3,AIML
S0642,8.06,CSE
S0643,9.14,CSE
S0644,7.64,ECE
S0645,7.23,ECE
S0646,7.39,ECE
S0647,7.99,ECE
S0648,6.12,CHEM
S0649,7.63,ECE
S0650,7.19,ECE
S0651,8.98,ECE
S0652,7.36,CSE
S0653,8.83,EEE
S0654,6.62,CSE
S0655,7.97,EEE
S0656,7.76,CSE
S0657,6.8,CHEM
S0658,7.64,ECE
S0659,8.47,AIML
S0660,7.24,ECE
S0661,6.15,CSE
S0662,7.49,CE
S0663,6.78,EEE
S0664,7.23,CE
S0665,7.43,ECE
S0666,6.14,EEE
S0667,6.21,CE
S0668,7.89,EEE
S0669,7.08,IT
S0670,6.0,EEE
S0671,8.13,EEE
S0672,7.72,CHEM
S0673,6.93,IT
S0674,6.45,ECE
S0675,8.17,CE
S0676,7.78,ECE
S0677,9.41,ME
S0678,7.84,ECE
S0679,7.81,CSE
S0680,7.37,ME
S0681,8.15,CSE
S0682,8.0,CSE
S0683,8.5,EEE
S0684,7.08,ME
S0685,7.15,AIML
S0686,7.12,CSE
S0687,8.13,CSE
S0688,8.7,AIML
S0689,7.13,CSE
S0690,7.16,CSE
S0691,7.75,IT
S0692,7.3,ECE
S0693,8.26,AIML
S0694,6.0,ME
S0695,6.84,ME
S0696,6.87,CSE
S0697,6.0,IT
S0698,6.73,ECE
S0699,6.77,CSE
S0700,7.34,CSE
S0701,8.39,IT
S0702,7.3,CSE
S0703,6.68,ECE
S0704,7.45,ME
S0705,8.34,CSE
S0706,6.72,ECE
S0707,6.77,CE
S0708,7.95,ME
S0709,7.32,CE
S0710,8.02,ECE
S0711,7.49,CE
S0712,8.06,CSE
S0713,6.67,IT
S0714,7.49,CSE
S0715,7.33,ECE
S0716,6.53,IT
S0717,6.25,CSE
S0718,8.05,ME
S0719,7.22,IT
S0720,6.68,CSE
S0721,7.42,CSE
S0722,8.4,ECE
S0723,6.0,IT
S0724,6.3,IT
S0725,6.76,CSE
S0726,8.67,ME
S0727,7.73,AIML
S0728,8.11,ECE
S0729,6.59,EEE
S0730,6.6,AIML
S0731,7.86,CHEM
S0732,7.55,EEE
S0733,7.94,AIML
S0734,7.35,AIML
S0735,7.72,CE
S0736,7.63,ECE
S0737,8.12,CSE
S0738,8.15,CSE
S0739,6.2,ECE
S0740,6.0,ECE
S0741,8.3,IT
S0742,8.45,ECE
S0743,6.68,ECE
S0744,6.01,CE
S0745,7.58,CSE
S0746,8.24,CSE
S0747,8.94,CE
S0748,7.91,CE
S0749,7.2,CHEM
S0750,6.79,AIML
S0751,7.51,AIML
S0752,7.26,IT
S0753,6.69,IT
S0754,9.14,CSE
S0755,8.93,EEE
S0756,8.41,AIML
S0757,6.76,IT
S0758,8.18,ECE
S0759,8.01,IT
S0760,7.85,CSE
S0761,8.5,CSE
S0762,8.01,CSE
S0763,8.09,AIML
S0764,8.01,IT
S0765,7.77,CE
S0766,6.07,ME
S0767,7.57,CSE
S0768,7.06,CSE
S0769,6.48,CE
S0770,8.85,CSE
S0771,8.88,AIML
S0772,8.59,CSE
S0773,7.7,EEE
S0774,8.58,CE
S0775,7.51,CSE
S0776,7.66,CSE
S0777,6.63,CHEM
S0778,7.82,CSE
S0779,7.55,ECE
S0780,6.46,ECE
S0781,7.46,CSE
S0782,7.44,ME
S0783,8.94,ME
S0784,8.22,IT
S0785,7.51,CE
S0786,7.7,CSE
S0787,7.54,CSE
S0788,7.34,ECE
S0789,6.63,CHEM
S0790,7.38,CSE
S0791,6.9,CSE
S0792,6.5,ECE
S0793,7.91,CE
S0794,7.81,CSE
S0795,6.07,IT
S0796,7.4,ME
S0797,8.3,IT
S0798,8.35,CSE
S0799,8.32,CSE
S0800,7.53,IT
